zts1e	Nowy przedmiot
zts2e	[n]
zts3e	Drewniany kij
zts4e	Pierwsza broñ poszukiwaczy przygód, którzy dopiero co przybyli do NosVille[n][n]
zts5e	Drewniana pa³ka
zts6e	Silna drewniana pa³ka, która zadaje dodatkowe obra¿enia[n][n]
zts7e	Drewniany miecz
zts8e	Drewniany miecz przeznaczony do treningu dla poszukiwaczy przygód[n][n]
zts9e	Drewniany M³otek
zts10e	M³ot wykonany z twardego drewna [n][n]
zts11e	Ciê¿ki Drewniany M³ot
zts12e	S³u¿y do robienia ciasta. Jest bardzo ciê¿kie [n][n]
zts13e	Treningowy drewniany miecz
zts14e	Miecz dla niedoœwiadczonych uczniów na poszukiwacza przygód.[n][n]
zts15e	Miecz Poszukiwacza Przygód
zts16e	Miecz ze stali dla poszukiwaczy przygód.[n][n]
zts17e	Drewniana katapulta
zts18e	Pierwsza drugorzêdna broñ dla nowo przyby³ych poszukiwaczy przygód.[n][n]
zts19e	Mocna katapulta
zts20e	Zadaje wiêcej bólu [n][n]
zts21e	Proca ucznia
zts22e	Proca dla niedoœwiadczonego Poszukiwacza przygód
zts23e	Stalowa katapulta
zts24e	katapulta dla poszukiwaczy przygód wykonana ze stali[n][n]
zts25e	Ubranie
zts26e	Ubranie dla poszukiwaczy przygód, którzy dopiero co przybyli do NosVille[n][n]
zts27e	Strój treningowy
zts28e	Strój zaprojektowany do treningu dla poszukiwaczy przygód[n][n]
zts29e	Strój poszukiwacza przygód
zts30e	Bardzo popularny strój poszukiwacza przygód. Chroni przed negatywnymi konsekwencjami o¿ywiania.[n][n]
zts31e	Pancerz treningowy
zts32e	Bardzo wygodny pancerz treningowy dla poszukiwaczy przygód[n][n]
zts33e	Zestaw szat poszukiwacza przygód
zts34e	Ogrzewa poszukiwaczy przygód gdy nocuj¹ pod go³ym niebem [n][n]
zts35e	Ciep³a szata
zts36e	Otula ca³e cia³o i zapewnia ciep³o. Niskie prawdopodobieñstwo negatywnego efektu w chwili zmartwychwstania [n][n]
zts37e	Dyletancki miecz
zts38e	Prezent od Mentor Mimi dla wszystkich szkol¹cych siê we w³adaniu mieczem. [n] Poszukiwacze przygód nie mog¹ u¿ywaæ tej broni.[n][n]
zts39e	Krótki miecz
zts40e	Ten miecz jest bardzo popularny wœród pocz¹tkuj¹cych wojowników[n][n]
zts41e	Miecz cierpienia
zts42e	Miecz ten zosta³ wykonany z broni pokonanych rycerzy [n] Zwiêksza prawdopodobieñstwo zadania krytycznego trafienia[n][n]
zts43e	D³ugi Miecz
zts44e	Zwyczajny jednorêczny miecz dla wojownika[n][n]
zts45e	Miecz z br¹zu
zts46e	Miecz pokryty br¹zem [n] Zwiêksza prawdopodobieñstwo krytycznego trafienia[n][n]
zts47e	Szabla
zts48e	Szabla ta jest bardzo popularna wœród wojowników[n][n]
zts49e	Szeroki miecz ducha
zts50e	Miecz ten nale¿a³ do poleg³ego ¿o³nierza, jego dusza nadal jest uwieziony w ostrzu [n] Zwiêksza si³ê ataku elementu ognia[n][n]
zts51e	Falchion
zts52e	Broñ sieczna z d³ugim uchwytem, wystarczaj¹co lekka do u¿ycia jedn¹ rêk¹[n][n]
zts53e	Z³oty d³ugi miecz
zts54e	Miecz pokryty z³otem [n] Dziêki elementowi ognia zwiêksza prawdopodobieñstwo zadania krytycznego trafienia[n][n]
zts55e	Miecz bitewny
